stage,check,why_it_matters,typical_tooling
Data grain,One row means one entity or event,Ambiguous rows create invalid targets and duplicated signals,"SQL counts; dplyr count"
Target audit,Confirm target type and support,The target determines the model family,"summary; table; histogram"
Missingness,Profile missing values by variable and segment,Complete-case analysis can change the population,"colMeans(is.na()); SQL null counts"
Outliers,Review extreme values and data-entry errors,Outliers may be true signal or invalid records,"boxplot; quantiles; Cook distance"
Collinearity,Compute VIF and condition number,Collinearity destabilizes coefficients and standard errors,"VIF; kappa; correlation matrix"
Heteroskedasticity,Plot residuals and run Breusch-Pagan style screening,Nonconstant error variance can invalidate standard errors,"residual plots; BP test; robust SE"
Linearity,Check residual curves and partial residuals,Linear terms can miss curved relationships,"residual plots; splines; GAM"
Dependence,Identify repeated people stores schools counties or time periods,Independent-row assumptions often fail in clustered data,"cluster counts; ICC; mixed models"
Autocorrelation,Check residual correlation by time,Time dependence affects uncertainty and forecasts,"ACF; Durbin-Watson; Ljung-Box"
Class balance,Count categories for classification,Accuracy can be misleading under imbalance,"confusion matrix; PR AUC"
Sparse categories,Check rare factor levels,Rare levels create unstable estimates and separation,"table; lumping; pooling"
Separation,Check perfect prediction in logistic models,Maximum likelihood estimates can diverge,"cross-tabs; warnings; penalized models"
Overdispersion,Compare count variance and mean,Poisson standard errors can be too small,"residual deviance / df; negative binomial"
Zero inflation,Compare observed and expected zeros,Structural zeros may need two-part models,"zero rate; ZIP/hurdle comparison"
Censoring or truncation,Document observation limits,Wrong likelihood leads to biased estimates,"Tobit; survival; truncated regression"
Assumption-specific,Check proportional odds hazards IIA stationarity or parallel trends,Specialized methods have specialized failure modes,"model tests; plots; sensitivity"
Leakage,Verify feature timestamps and post-outcome fields,Leaked features inflate validation performance,"feature inventory; time split"
Validation,Use holdout cross-validation bootstrap or time splits,Performance must estimate future behavior,"rsample; caret; tidymodels; sklearn"
Calibration,Compare predicted probabilities with observed frequencies,Useful probabilities need calibration not just ranking,"calibration plot; Brier score"
Sensitivity,Re-run with alternate specifications,Conclusions should not hinge on one fragile choice,"robustness grid; model card"
