technique,target_type,data_structure,example_data,primary_diagnostics,starter_tools
Simple linear regression,continuous,one numeric outcome and one numeric predictor,"cars; mtcars","linearity; residual spread; influential points","R lm; Python statsmodels; DuckDB regr_slope"
Multiple linear regression,continuous,numeric outcome with multiple predictors,"mtcars; airquality; LifeCycleSavings","VIF; condition number; heteroskedasticity; leverage","R lm; Python statsmodels"
Polynomial regression,continuous,continuous outcome with powers of predictors,"cars; pressure","overfit; residual curvature; extrapolation","R poly; Python PolynomialFeatures"
Spline regression and GAM,mixed,continuous or GLM outcome with smooth nonlinear predictors,"airquality; CO2; Open-Meteo","basis dimension; concurvity; residual pattern","R splines/mgcv; Python pygam"
Interaction model,mixed,any regression target with product terms,"ToothGrowth; CO2; ChickWeight","cell counts; centering; VIF; simple slopes","R formula interactions; Python patsy"
Weighted least squares,continuous,continuous outcome with row weights,"mtcars; survey extracts","weight logic; heteroskedasticity; sensitivity","R lm weights; Python WLS"
Robust regression,continuous,continuous outcome with outliers or heavy-tailed errors,"stackloss; mtcars","Cook distance; leverage; residual distribution","R MASS rlm; Python RLM"
Quantile regression,continuous,continuous outcome where median or tails matter,"airquality; wage data","heteroskedasticity; quantile crossing; outliers","R quantreg; Python QuantReg"
Ridge regression,mixed,standardized predictors with collinearity,"mtcars; World Bank indicators","collinearity; scaling; holdout leakage","R glmnet; Python Ridge"
Lasso regression,mixed,standardized predictors where feature selection is useful,"World Bank indicators; BLS features","scaling; correlated features; stability","R glmnet; Python Lasso"
Elastic net,mixed,many standardized and correlated predictors,"survey data; API joins","penalty tuning; scaling; validation","R glmnet; Python ElasticNet"
Principal components regression,continuous,continuous target with many numeric correlated predictors,"USArrests; state indicators","scaling; variance explained; interpretation","R prcomp plus lm; Python PCA"
Partial least squares,continuous,continuous target with many correlated predictors,"indicators; survey batteries","scaling; component count; cross-validation","R pls; Python PLSRegression"
Binary logistic regression,binary,two-class outcome,"mtcars transmission; infert","separation; class balance; calibration; VIF","R glm binomial; Python LogisticRegression"
Probit regression,binary,two-class outcome with latent threshold interpretation,"infert; public health examples","separation; calibration; marginal effects","R glm probit; Python Probit"
Multinomial logistic regression,nominal,three or more unordered classes,"iris species; customer choice","class balance; rare levels; IIA; calibration","R nnet multinom; Python MNLogit"
Ordinal logistic or probit,ordered,ordered categorical target,"survey ratings; satisfaction scales","proportional odds; sparse levels; calibration","R MASS polr; Python OrderedModel"
Poisson regression,count,nonnegative integer target with optional exposure,"warpbreaks; event counts","overdispersion; zero inflation; exposure","R glm poisson; Python Poisson"
Quasi-Poisson regression,count,overdispersed count target,"warpbreaks; claims","dispersion ratio; residual deviance; exposure","R quasipoisson; Python robust SE"
Negative binomial regression,count,overdispersed count target,"accident counts; disease counts","overdispersion; zero inflation; fit comparison","R MASS glm.nb; Python NegativeBinomial"
Zero-inflated or hurdle regression,count,count target with many zeros,"claims; doctor visits; defects","zero rate; two-process logic; overdispersion","R pscl; Python count models"
Beta regression,proportion,continuous proportion strictly between 0 and 1,"utilization; shares","boundary values; precision; link function","R betareg; Python BetaModel"
Fractional logit,proportion,proportion target including 0 or 1,"market share; pass rates","boundary values; heteroskedasticity; clustering","R quasibinomial; Python GLM Binomial"
Tobit and censored regression,censored,continuous latent target censored at a known limit,"detection limits; capped scores","censoring mechanism; boundary mass; normality","R censReg; Python custom MLE"
Truncated regression,truncated,continuous target with unobserved rows outside range,"restricted surveys","sampling rule; missing population; distribution fit","R truncreg; Python custom MLE"
Nonlinear least squares,continuous,continuous target with known nonlinear equation,"Puromycin; growth curves","starting values; identifiability; residual pattern","R nls; Python curve_fit"
Mixed-effects linear regression,continuous,continuous target with repeated groups,"ChickWeight; CO2; Orange","group size; ICC; random effects","R lme4/nlme; Python MixedLM"
Generalized mixed-effects model,mixed,binary count or ordered outcomes with repeated groups,"patient visits; store-days","cluster size; separation; overdispersion; convergence","R glmer; Python mixed models"
GEE,mixed,clustered or repeated rows with population-average effects,"longitudinal health; customer contacts","cluster count; working correlation; robust SE","R geepack; Python GEE"
Panel fixed effects,panel,entity-time rows with unobserved stable entity differences,"state-year panels; World Bank","within variation; time effects; serial correlation","R fixest/plm; Python linearmodels"
Panel random effects,panel,entity-time rows with random entity effect,"balanced and unbalanced panels","Hausman logic; group variance; serial correlation","R plm; Python linearmodels"
Difference-in-differences,causal,treated and control groups before and after intervention,"policy panels; labor panels","parallel trends; anticipation; composition; clustering","R fixest; Python statsmodels"
Event study regression,causal,entity-time rows with relative-time indicators,"policy rollout; product launches","pre-trends; binning; multiple timing; cluster SE","R fixest; Python linearmodels"
Instrumental variables and 2SLS,causal,endogenous predictor plus valid instrument,"demand and supply examples","instrument relevance; exclusion; weak instruments","R AER/fixest; Python IV2SLS"
Regression discontinuity,causal,running variable and cutoff,"eligibility rules; score thresholds","manipulation; bandwidth; continuity; local balance","R rdrobust; Python local regression"
Time-series regression with ARIMA errors,time series,time-indexed target with exogenous regressors,"AirPassengers; BLS unemployment","stationarity; autocorrelation; seasonality; time split","R forecast/fable; Python SARIMAX"
Distributed lag and ARDL,time series,time series with lags of target and predictors,"weather demand; ad spend","lag choice; stationarity; autocorrelation; lag collinearity","R dynlm; Python statsmodels"
VAR and VECM,time series,multiple time series modeled jointly,"macro indicators; prices","stationarity; cointegration; lag order","R vars; Python VAR"
Survival Cox model,survival,duration plus event indicator,"survival package data; churn","proportional hazards; censoring; influential subjects","R survival coxph; Python lifelines"
Parametric survival and AFT,survival,duration plus event indicator and distribution,"reliability; retention","distribution fit; censoring; residuals","R survreg; Python lifelines"
Competing risks regression,survival,time to one of multiple event types,"medical endpoints; churn reasons","cause coding; censoring; cumulative incidence","R cmprsk; Python survival libraries"
Spatial lag and spatial error regression,spatial,geographic units with neighbor matrix,"county outcomes; city demand","spatial autocorrelation; weights matrix; residual maps","R spdep; Python PySAL"
Geographically weighted regression,spatial,geocoded rows with local coefficients,"housing; environmental exposure","bandwidth; local collinearity; edge effects","R GWmodel; Python mgwr"
Bayesian regression,mixed,regression model with priors and posterior inference,"mtcars; A/B tests","prior predictive checks; convergence; posterior predictive checks","R brms/rstanarm; Python PyMC"
Bayesian hierarchical regression,mixed,grouped data with partial pooling,"schools; hospitals; stores; teams","priors; group sizes; convergence","R brms; Python PyMC"
Multivariate multiple regression,multivariate,several numeric outcomes per row,"iris measurements; financial ratios","outcome correlation; multivariate normality","R lm cbind; Python MANOVA"
Seemingly unrelated regression,multivariate,multiple equations with correlated errors,"demand systems; KPI systems","error correlation; specification; identification","R systemfit; Python statsmodels"
Structural equation modeling,latent,observed indicators and latent constructs,"surveys; customer experience","measurement reliability; identification; fit indices","R lavaan; Python semopy"
Tree-based regression,predictive,tabular targets with nonlinear interactions,"R built-ins; API joins","leakage; validation; importance bias; calibration","R ranger/xgboost; Python sklearn/xgboost"
Neural network regression or classification,predictive,large feature arrays or complex nonlinear data,"large API datasets; text or image features","scaling; leakage; validation; explainability","R keras/torch; Python torch/keras"
